LNR,RESPONSE
1754,0.26495700520417464
1770,0.8258796686666668
1465,0.9648831624904628
1470,0.9061900411157983
1478,0.450848406805034
1782,0.9556227436673119
1485,0.541747957213843
1519,0.9708149212646076
1835,0.5872212686395173
1522,0.8858118811126812
1539,0.8048800166931582
1853,0.9484695345595469
1856,0.8248731987150842
2502,0.7664175149397553
2182,0.2863022152800947
2191,0.5533093066659278
2522,0.9086885907363866
2530,0.9665844061745114
2215,0.8956752955600696
2550,0.8017301093804172
2570,0.8989927313763267
2574,0.7989324379428294
2579,0.07680732263071399
2247,0.2777479218303178
2674,0.9296349477595245
11434,0.9544450313744874
11122,0.24937666370222633
11127,0.37393434034129946
11443,0.14881140334451604
11170,0.5621334076313078
11191,0.8434042493093109
11198,0.20586343973339738
10936,0.45976822020098185
11244,0.4639421192591213
11247,0.9249279608510634
11252,0.7631920981179094
11259,0.5518616655901301
10945,0.9087554658814125
10951,0.9852425234149808
11271,0.6743362076415548
10963,0.1820641933919187
11282,0.8815739598829657
11291,0.3404665260279621
10980,0.8913853850430324
10994,0.920354680806904
10998,0.5621334076313078
11303,0.9171395653450154
11630,0.9962252714540821
11636,0.982865625250757
11949,0.9410407472422606
11950,0.6857553165206238
11956,0.09355067336766332
11648,0.5621334076313078
11653,0.3165929412689228
11967,0.6086848354414236
11972,0.9813157458511481
11975,0.8515675917738631
12110,0.7862617240718472
12113,0.5852787596721908
11712,0.9820557667075841
11716,0.4494470084518567
12000,0.9921309838181738
11722,0.8580310478896688
12023,0.5621334076313078
12046,0.4196342911405502
11762,0.5518616655901301
12071,0.9527125120216255
12077,0.5281880362309064
11785,0.8320111751464828
11788,0.6341995178805839
11790,0.9374547064812322
11800,0.7966465044548334
11806,0.9982119654725256
11816,0.9911723958589513
11505,0.7904977345901437
11837,0.4771849945378607
11531,0.08574190118133951
11848,0.4078549801729139
11854,0.9849961753757203
11877,0.8851017542164182
11563,0.6556060093259872
11567,0.3328071598433615
11894,0.90552706344809
11906,0.6801140442608642
11917,0.5621334076313078
11610,0.5621334076313078
11923,0.7263112704523165
12596,0.8901314101219162
12603,0.5932411238279411
12608,0.6650051812806482
12633,0.49209037318089477
12637,0.2792524032485991
21484,0.5518616655901301
21184,0.986859595739073
21247,0.8098754779003794
20991,0.8497626704316591
21018,0.39014499002231917
21019,0.4852071332642014
21047,0.9537400409399329
21054,0.9794177239235606
21374,0.8143425660091286
21392,0.9865377085224193
21713,0.9955233907700061
22019,0.9550141726197678
22025,0.9057891077392717
